Customer_ID,Customer_Name,Customer_Surname,Customer_Primary_Email,Customer_Primary_Phone
sdfasf1231saf,Luca,Zhovtovskiy,lucazhovtovski@gmail.com,+79831219867
dfsdf324sdf,Maria,Urantaeva,maha@gmail.com,+79991235325
Hqiv123gdf,Anya,Fedorova,fads@mail.ry,+79031236531
Idfjgdfg73,Kolya,Prekasny,kolya_prekasny@mail.ru,+79345856734
Dfgsdfh123,Stepa,Velikiy,stepa_velikiy@gmail.com,+79673452347
Awe1234sdf,Daria,Tatum,daria_tatum@yandex.ru,+79534234531
12sdfgdsg,Lev,Levovich,lev_levovich@gmail.com,+79456234546
Ewrwer234,Vova,True,vova_true@gmail.com,+79345674245
Segwsgr23,Nikita,Jobish,nikita_jobish@yandex.ru,+79723468534
D123sdf1de,Sanek,Niashin,sanek_niashin@mail.ru,+79834582125
